request_type,priority,department,amount,status
0,1,2,174283,1
5,1,3,63144,2
4,2,2,25109,1
2,0,3,28625,1
0,0,2,129257,1
0,1,4,115092,1
3,0,5,79456,1
3,2,1,176495,1
0,2,2,85440,1
5,1,4,112189,2
0,1,4,185447,1
0,1,1,10435,1
5,0,0,111319,1
1,1,4,3523,0
1,2,0,4731,0
2,2,2,51541,0
0,0,3,167646,1
2,1,1,10593,0
0,0,0,122578,1
2,1,1,58789,0
2,0,1,189393,2
2,2,3,178493,2
0,1,2,165853,1
3,0,0,12813,0
0,0,2,152471,1
5,0,5,55466,1
4,2,5,20987,1
2,2,3,188519,2
4,0,3,28349,0
2,2,4,73650,0
3,1,3,101873,1
5,1,1,114655,2
5,2,4,18137,0
0,2,2,96294,1
0,2,5,115162,1
5,2,3,18198,0
5,2,3,50781,2
3,1,1,56622,1
3,1,0,83137,1
0,0,1,196534,1
2,2,4,196996,2
2,0,2,40294,1
1,2,4,4231,0
0,2,3,41434,0
3,1,2,165900,1
3,1,1,1456,0
0,0,1,105320,1
2,0,1,90727,0
1,1,4,3360,0
1,1,3,4753,2
0,2,5,108712,1
3,2,0,57577,1
1,2,0,4879,0
1,1,1,2772,0
0,2,3,74053,0
4,2,4,5772,0
0,0,2,34795,1
2,2,2,85899,0
3,0,2,107080,1
4,1,3,19960,0
4,2,3,17855,0
3,2,3,47232,1
5,1,0,39249,2
0,0,2,118975,1
0,2,2,155409,1
2,0,0,66297,1
2,0,0,86843,1
2,0,5,149156,2
2,1,5,132934,2
1,0,2,2389,1
4,2,2,1557,2
5,2,1,13402,0
4,2,5,3278,0
3,1,1,197430,1
3,1,0,59737,1
5,0,0,116960,1
2,1,3,70263,0
3,2,4,5429,0
2,0,2,13917,1
4,2,1,24037,1
1,2,2,1297,0
3,1,5,44927,1
3,0,2,154675,1
3,0,4,156256,1
0,0,3,63116,0
2,0,1,95483,1
5,1,0,85998,2
3,0,4,164575,1
1,0,4,4846,1
5,2,5,35018,1
4,2,2,10235,0
4,2,4,16177,0
3,1,2,105466,1
2,0,4,173399,2
0,2,3,184645,0
0,2,2,9061,1
5,2,5,27998,0
5,1,1,40149,0
3,1,5,18053,0
5,2,3,35512,0
4,0,2,24267,2
3,0,1,95296,1
1,0,0,2707,1
0,1,3,79095,0
5,2,1,37761,0
2,2,5,144564,2
2,2,5,185021,2
2,1,1,192810,2
5,0,3,21929,0
4,0,5,6893,0
4,0,3,4808,0
3,0,0,168835,1
0,1,3,170671,1
4,0,3,22270,1
1,0,5,3375,1
4,0,1,11161,0
5,1,0,78868,2
3,0,0,9194,0
4,0,2,12801,0
4,1,1,24601,1
5,0,0,19811,0
2,1,4,64357,0
3,2,4,95743,1
4,2,5,2029,0
0,2,5,92066,1
2,1,0,18979,0
4,1,2,28154,1
5,0,3,37326,0
1,0,3,1351,1
3,0,3,179687,1
4,1,0,15383,0
1,2,2,3071,0
5,2,5,32806,0
4,1,5,29156,2
0,1,0,163223,1
1,1,3,3785,0
0,0,3,142818,0
4,1,0,24875,1
3,1,4,53064,1
5,1,4,35555,0
0,2,3,84330,0
5,1,4,15667,0
5,0,1,54719,1
4,0,0,15104,1
5,1,2,39932,0
3,0,3,77682,1
3,0,2,53637,1
2,1,2,50931,0
5,2,5,110302,2
5,0,1,86762,1
0,2,5,41723,1
1,0,0,1896,1
1,1,3,49,0
2,1,1,84079,0
3,0,0,66086,1
1,0,0,4091,1
4,1,0,2093,0
4,1,1,4738,0
2,0,5,140820,2
4,0,1,13082,0
5,1,0,116557,2
1,0,4,1298,1
5,0,3,43660,0
1,2,3,4462,0
3,1,5,25204,0
1,2,3,2221,0
0,1,5,90177,1
1,0,5,4798,1
4,2,1,11327,0
0,0,5,101423,1
5,1,3,47883,0
1,1,2,746,0
0,0,1,48566,1
3,1,2,44145,1
0,2,5,8186,1
3,2,0,121167,1
1,1,2,869,0
3,1,4,157723,1
5,2,2,100091,2
1,0,4,460,1
1,1,3,2544,0
5,1,2,72655,2
3,0,4,122255,1
5,2,5,9276,0
1,1,0,3574,0
5,0,0,10895,0
1,0,3,3682,1
1,2,2,1118,0
3,0,1,19376,0
1,2,5,4463,0
3,2,1,95210,1
5,0,2,111146,1
3,2,3,143993,1
4,1,1,24752,1
1,1,4,670,0
3,0,4,87392,1
1,1,1,833,0
5,0,5,43117,0
4,1,4,22225,1
2,0,1,172375,2
0,0,3,198843,0
5,0,3,109296,1
3,0,1,37181,1
2,1,4,187193,2
3,1,0,188792,1
1,1,1,2634,0
0,0,5,152070,1
4,1,3,13911,0
0,2,2,191886,1
5,1,2,102919,2
4,1,0,24740,1
2,1,5,39283,0
0,0,4,75884,1
4,1,1,6434,0
0,0,1,104347,1
4,0,2,19351,0
1,0,2,234,1
5,0,1,87331,1
1,0,5,4948,1
5,2,0,42214,0
2,0,0,137766,2
3,2,4,148469,1
5,0,0,23584,0
4,1,1,29867,1
3,1,1,100337,0
5,0,4,10525,0
3,0,4,25677,0
0,1,1,198584,1
1,1,5,1740,0
2,1,3,128077,2
2,1,4,125540,2
3,1,3,2202,0
0,1,3,132497,0
3,1,3,117393,1
5,1,2,110586,2
3,1,2,122469,1
5,2,4,5489,0
0,0,4,13973,1
1,0,3,221,1
4,2,4,6711,0
0,1,0,5785,1
1,1,3,3001,0
5,1,5,98625,2
2,1,0,73836,0
2,2,3,68992,0
5,1,5,74188,2
2,0,4,84034,1
1,1,1,721,0
0,1,3,155900,0
4,2,5,2199,0
3,0,1,162566,1
5,1,2,22059,0
3,2,1,165836,1
3,2,5,183551,1
0,0,0,182234,1
3,2,3,125344,1
1,1,3,1655,0
1,0,4,2935,1
3,0,5,123007,1
3,1,0,18098,0
3,1,0,49915,1
3,1,1,124841,1
4,0,1,20125,0
4,1,2,15746,0
3,2,3,162058,1
4,0,2,4858,0
1,0,3,4214,1
0,2,2,163920,2
2,0,1,51975,1
5,2,3,83519,2
0,2,1,72815,1
3,0,5,112537,1
3,2,2,79886,1
1,2,0,4341,0
4,2,1,17418,0
2,2,2,163763,2
2,1,4,146278,2
1,0,4,4670,1
4,1,5,21614,1
3,1,2,133775,1
4,0,1,5890,0
0,1,0,153429,1
3,1,4,173191,1
5,2,5,119036,2
0,0,2,181103,1
0,2,0,6063,1
3,0,1,187544,1
5,1,4,50854,2
0,0,2,5007,1
2,2,5,74155,0
3,1,3,91671,1
3,2,0,31515,1
3,2,5,36780,1
2,2,0,177425,2
3,1,4,169370,1
3,2,5,136115,1
1,1,3,423,0
3,1,2,175780,1
0,2,0,88963,1
0,1,5,57217,1
1,0,2,3913,1
0,0,5,133048,1
0,2,4,164145,1
2,0,5,63057,1
0,2,3,153161,0
5,0,1,115385,1
2,1,4,123374,2
5,0,3,77055,1
4,1,4,3255,0
0,1,0,56011,1
0,1,0,144117,1
4,1,2,22977,1
1,1,3,4207,0
4,2,1,13789,0
3,2,4,191940,1
2,0,5,190222,2
0,0,2,150519,1
4,0,3,12594,0
2,1,4,160911,2
3,0,2,164045,1
1,1,2,1473,0
3,2,2,139508,0
0,2,4,149076,1
1,2,1,3880,0
2,1,2,66218,0
0,1,2,41363,1
4,1,2,14313,0
1,2,5,3624,0
5,1,1,7076,0
2,1,5,57409,0
3,1,0,163496,1
4,1,2,13567,0
3,0,2,142143,0
4,0,5,5714,0
0,1,0,161451,1
5,1,1,97803,2
1,2,3,1667,0
5,2,0,32983,0
0,0,3,117581,0
1,1,4,2776,0
1,0,1,2996,1
2,2,3,58961,0
3,1,3,93912,1
5,1,0,24966,0
2,1,1,195189,0
1,0,1,1613,1
5,1,2,107923,2
1,1,2,1479,0
4,0,5,14571,0
4,1,5,22162,1
5,1,0,8218,0
2,2,2,111999,2
3,2,2,82021,1
2,0,3,108134,2
3,1,1,84813,1
3,1,4,13424,0
4,0,5,14020,0
3,0,4,95723,2
1,2,5,4310,0
4,1,1,2578,0
0,2,3,157351,0
1,2,3,2931,0
2,0,0,176835,2
4,0,4,23361,1
4,2,0,6917,0
3,0,2,178350,1
0,2,3,185148,0
1,2,4,1928,0
1,2,1,2589,0
1,2,4,945,0
1,1,2,4365,0
3,2,1,130503,1
3,2,5,44427,1
4,1,1,13345,0
4,2,5,17411,0
1,1,0,1640,0
0,0,2,28984,1
5,0,3,27675,0
0,0,2,147799,1
5,0,5,86316,1
2,2,0,143304,2
2,1,3,91028,1
2,2,3,144155,2
1,2,3,2307,0
3,2,0,159956,1
2,0,0,50630,1
0,2,4,19377,1
5,0,1,49254,0
5,1,3,105526,2
3,2,0,14397,0
0,0,3,147129,2
4,1,5,12335,0
4,1,0,3912,0
1,2,1,839,0
3,1,2,33201,1
1,0,2,1741,1
3,1,1,189425,1
1,0,2,2142,1
2,2,0,101567,2
0,2,4,156635,1
1,2,1,482,1
4,0,1,27290,1
4,2,2,26465,1
3,1,3,156713,1
3,1,3,107048,1
3,1,4,108977,1
5,2,2,24969,0
1,0,5,616,1
1,0,4,4457,1
2,1,4,121600,2
4,0,1,3575,0
5,0,1,61095,1
4,2,3,29568,1
2,0,2,161975,2
2,0,1,162309,2
1,2,1,816,0
3,2,2,198429,1
1,0,4,4010,1
2,0,3,132732,2
3,2,0,101927,1
5,0,4,105660,1
2,0,5,85568,1
5,1,1,21486,0
3,1,1,151870,1
0,2,1,120048,1
5,1,0,43872,0
0,0,1,86823,1
3,1,0,170150,1
4,2,2,19780,0
1,2,5,900,0
1,2,0,1431,0
3,1,4,23100,2
0,0,4,181471,1
2,1,4,185999,2
4,0,5,16672,0
4,1,5,8519,0
2,0,4,154855,2
5,1,3,41902,0
1,0,2,1327,1
4,0,2,24417,1
2,1,3,100446,2
5,0,5,62238,1
1,1,2,1479,0
3,2,2,19554,0
3,1,5,13131,0
4,2,2,8105,0
2,0,5,41595,0
2,1,2,170636,1
5,0,4,12963,0
1,0,2,3951,1
